#1
#Denmark_Alborg
#57,100       9,850       5            -8
#
#t(s)	month	day	hour	thewdeg	v_wind	Ghtot	Ghdiff	T_ext	Pa
double tab1(2160,10)
0	10	1	1	212	5	0	0	111	100900
600	10	1	1	212	11	0	0	110	100900
1200	10	1	1	212	15	0	0	109	100900
1800	10	1	1	212	12	0	0	109	100900
2400	10	1	1	212	22	0	0	110	100900
3000	10	1	1	212	27	0	0	109	100900
3600	10	1	2	207	30	0	0	106	100900
4200	10	1	2	207	23	0	0	107	100900
4800	10	1	2	207	23	0	0	106	100900
5400	10	1	2	207	20	0	0	106	100900
6000	10	1	2	207	16	0	0	105	100900
6600	10	1	2	207	15	0	0	101	100900
7200	10	1	3	197	14	0	0	100	100900
7800	10	1	3	197	16	0	0	101	100900
8400	10	1	3	197	26	0	0	100	100900
9000	10	1	3	197	28	0	0	100	100900
9600	10	1	3	197	35	0	0	98	100900
10200	10	1	3	197	29	0	0	100	100900
10800	10	1	4	177	25	0	0	97	100900
11400	10	1	4	177	30	0	0	98	100900
12000	10	1	4	177	28	0	0	96	100900
12600	10	1	4	177	27	0	0	99	100900
13200	10	1	4	177	28	0	0	98	100900
13800	10	1	4	177	27	0	0	99	100900
14400	10	1	5	173	26	0	0	96	100900
15000	10	1	5	173	26	0	0	97	100900
15600	10	1	5	173	25	0	0	92	100900
16200	10	1	5	173	24	0	0	92	100900
16800	10	1	5	173	22	0	0	90	100900
17400	10	1	5	173	22	0	0	87	100900
18000	10	1	6	161	22	0	0	89	100900
18600	10	1	6	161	22	0	0	89	100900
19200	10	1	6	161	22	0	0	89	100900
19800	10	1	6	161	22	0	0	91	100900
20400	10	1	6	161	22	0	0	94	100900
21000	10	1	6	161	12	0	0	95	100900
21600	10	1	7	177	22	9	7	96	100900
22200	10	1	7	177	27	9	7	97	100900
22800	10	1	7	177	30	9	7	99	100900
23400	10	1	7	177	23	9	7	100	100900
24000	10	1	7	177	23	9	7	103	100900
24600	10	1	7	177	20	9	7	106	100900
25200	10	1	8	181	16	88	46	108	100900
25800	10	1	8	181	15	88	46	105	100900
26400	10	1	8	181	14	88	46	110	100900
27000	10	1	8	181	16	88	46	112	100900
27600	10	1	8	181	16	88	46	114	100900
28200	10	1	8	181	17	88	46	115	100900
28800	10	1	9	143	17	112	67	119	100900
29400	10	1	9	143	18	112	67	117	100900
30000	10	1	9	143	16	112	67	116	100900
30600	10	1	9	143	19	112	67	111	100899
31200	10	1	9	143	19	112	67	113	100898
31800	10	1	9	143	20	112	67	115	100897
32400	10	1	10	144	18	246	165	114	100895
33000	10	1	10	144	21	246	165	114	100894
33600	10	1	10	144	23	246	165	117	100893
34200	10	1	10	144	22	246	165	126	100892
34800	10	1	10	144	22	246	165	132	100891
35400	10	1	10	144	19	246	165	141	100890
36000	10	1	11	167	23	413	167	145	100889
36600	10	1	11	167	32	413	167	149	100887
37200	10	1	11	167	32	413	167	148	100886
37800	10	1	11	167	40	413	167	152	100885
38400	10	1	11	167	41	413	167	150	100884
39000	10	1	11	167	50	413	167	155	100883
39600	10	1	12	187	46	440	166	153	100882
40200	10	1	12	187	55	440	166	169	100880
40800	10	1	12	187	48	440	166	175	100879
41400	10	1	12	187	42	440	166	177	100878
42000	10	1	12	187	50	440	166	180	100877
42600	10	1	12	187	46	440	166	181	100876
43200	10	1	13	190	48	451	185	184	100875
43800	10	1	13	190	49	451	185	185	100874
44400	10	1	13	190	52	451	185	187	100872
45000	10	1	13	190	41	451	185	186	100871
45600	10	1	13	190	39	451	185	191	100870
46200	10	1	13	190	45	451	185	191	100869
46800	10	1	14	188	46	397	171	193	100868
47400	10	1	14	188	47	397	171	190	100867
48000	10	1	14	188	41	397	171	193	100866
48600	10	1	14	188	45	397	171	194	100864
49200	10	1	14	188	42	397	171	190	100863
49800	10	1	14	188	45	397	171	193	100862
50400	10	1	15	181	41	295	159	194	100861
51000	10	1	15	181	43	295	159	194	100860
51600	10	1	15	181	48	295	159	191	100859
52200	10	1	15	181	49	295	159	195	100857
52800	10	1	15	181	43	295	159	192	100856
53400	10	1	15	181	43	295	159	189	100855
54000	10	1	16	169	47	215	122	191	100854
54600	10	1	16	169	40	215	122	190	100853
55200	10	1	16	169	45	215	122	185	100852
55800	10	1	16	169	44	215	122	188	100851
56400	10	1	16	169	40	215	122	186	100849
57000	10	1	16	169	34	215	122	184	100848
57600	10	1	17	153	34	74	60	187	100847
58200	10	1	17	153	27	74	60	184	100846
58800	10	1	17	153	25	74	60	175	100845
59400	10	1	17	153	33	74	60	172	100844
60000	10	1	17	153	33	74	60	171	100843
60600	10	1	17	153	33	74	60	170	100841
61200	10	1	18	132	35	12	12	165	100840
61800	10	1	18	132	35	12	12	163	100839
62400	10	1	18	132	39	12	12	162	100838
63000	10	1	18	132	43	12	12	161	100837
63600	10	1	18	132	42	12	12	157	100836
64200	10	1	18	132	47	12	12	149	100834
64800	10	1	19	133	50	0	0	157	100833
65400	10	1	19	133	47	0	0	159	100832
66000	10	1	19	133	53	0	0	158	100831
66600	10	1	19	133	57	0	0	159	100830
