#1
#Denmark_Alborg
#57,100       9,850       5            -8
#
#t(s)	month	day	hour	thewdeg	v_wind	Ghtot	Ghdiff	T_ext	Pa
double tab1(360,10)
0	10	1	1	212	15	0	0	110	100900
3600	10	1	2	207	21	0	0	105	100900
7200	10	1	3	197	25	0	0	100	100900
10800	10	1	4	177	28	0	0	98	100900
14400	10	1	5	173	24	0	0	92	100900
18000	10	1	6	161	20	0	0	91	100900
21600	10	1	7	177	24	9	7	100	100900
25200	10	1	8	181	16	88	46	111	100900
28800	10	1	9	143	18	112	67	115	100899
32400	10	1	10	144	21	246	165	124	100893
36000	10	1	11	167	36	413	167	150	100886
39600	10	1	12	187	48	440	166	172	100879
43200	10	1	13	190	46	451	185	187	100872
46800	10	1	14	188	44	397	171	192	100865
50400	10	1	15	181	44	295	159	192	100858
54000	10	1	16	169	42	215	122	187	100851
57600	10	1	17	153	31	74	60	176	100844
61200	10	1	18	132	40	12	12	160	100837
64800	10	1	19	133	53	0	0	158	100830
68400	10	1	20	136	55	0	0	155	100824
72000	10	1	21	149	43	0	0	148	100817
75600	10	1	22	159	37	0	0	146	100810
79200	10	1	23	205	39	0	0	148	100803
82800	10	1	24	231	20	0	0	133	100781
86400	10	2	1	142	11	0	0	131	100747
90000	10	2	2	179	22	0	0	129	100714
93600	10	2	3	155	16	0	0	126	100681
97200	10	2	4	176	28	0	0	123	100647
100800	10	2	5	167	31	0	0	120	100614
104400	10	2	6	184	37	0	0	122	100581
108000	10	2	7	181	37	5	5	120	100547
111600	10	2	8	175	33	42	41	124	100514
115200	10	2	9	173	41	224	140	142	100481
118800	10	2	10	173	55	164	112	144	100447
122400	10	2	11	185	51	313	204	160	100414
126000	10	2	12	186	46	211	200	161	100381
129600	10	2	13	186	47	293	234	144	100347
133200	10	2	14	199	42	245	185	164	100314
136800	10	2	15	215	41	274	179	163	100281
140400	10	2	16	202	34	214	133	154	100247
144000	10	2	17	187	23	73	68	147	100214
147600	10	2	18	184	31	12	12	137	100181
151200	10	2	19	159	17	0	0	129	100147
154800	10	2	20	166	21	0	0	126	100114
158400	10	2	21	182	25	0	0	124	100081
162000	10	2	22	166	18	0	0	119	100047
165600	10	2	23	148	8	0	0	115	100014
169200	10	2	24	254	17	0	0	120	99990
172800	10	3	1	260	23	0	0	122	99974
176400	10	3	2	257	30	0	0	124	99957
180000	10	3	3	239	30	0	0	126	99940
183600	10	3	4	247	36	0	0	128	99924
187200	10	3	5	237	26	0	0	120	99907
190800	10	3	6	250	34	0	0	116	99890
194400	10	3	7	234	31	8	6	114	99874
198000	10	3	8	232	33	113	66	117	99857
201600	10	3	9	238	31	139	114	129	99840
205200	10	3	10	226	33	160	145	140	99824
208800	10	3	11	229	36	266	225	152	99807
212400	10	3	12	245	47	296	240	165	99790
216000	10	3	13	228	38	383	218	171	99774
219600	10	3	14	241	35	171	160	165	99757
223200	10	3	15	229	30	197	143	165	99740
226800	10	3	16	213	27	231	98	160	99724
230400	10	3	17	241	12	66	63	149	99707
234000	10	3	18	186	7	13	13	137	99690
237600	10	3	19	157	12	0	0	132	99674
241200	10	3	20	187	10	0	0	120	99657
244800	10	3	21	216	9	0	0	114	99640
248400	10	3	22	218	21	0	0	116	99624
252000	10	3	23	168	7	0	0	113	99607
255600	10	3	24	221	22	0	0	116	99610
259200	10	4	1	236	24	0	0	108	99626
262800	10	4	2	236	21	0	0	101	99643
266400	10	4	3	241	19	0	0	96	99660
270000	10	4	4	238	11	0	0	93	99676
273600	10	4	5	240	11	0	0	92	99693
277200	10	4	6	234	17	0	0	95	99710
280800	10	4	7	240	18	6	5	101	99726
284400	10	4	8	237	16	58	39	104	99743
288000	10	4	9	254	34	227	85	123	99760
291600	10	4	10	265	43	204	178	149	99776
295200	10	4	11	275	45	232	174	155	99793
298800	10	4	12	268	51	227	182	159	99810
302400	10	4	13	261	48	217	189	156	99826
306000	10	4	14	289	58	136	130	152	99843
309600	10	4	15	288	62	175	159	157	99860
313200	10	4	16	289	69	229	99	158	99876
316800	10	4	17	278	52	132	56	148	99893
320400	10	4	18	271	33	25	20	131	99910
324000	10	4	19	254	25	0	0	114	99926
327600	10	4	20	247	25	0	0	105	99943
331200	10	4	21	241	26	0	0	99	99960
334800	10	4	22	241	28	0	0	96	99976
338400	10	4	23	244	33	0	0	98	99993
342000	10	4	24	233	26	0	0	94	100012
345600	10	5	1	240	30	0	0	89	100033
349200	10	5	2	249	42	0	0	92	100054
352800	10	5	3	244	37	0	0	91	100075
356400	10	5	4	240	32	0	0	90	100095
360000	10	5	5	232	28	0	0	82	100116
363600	10	5	6	220	28	0	0	77	100137
367200	10	5	7	228	29	5	5	78	100158
370800	10	5	8	238	34	64	38	86	100179
374400	10	5	9	232	39	190	65	105	100200
378000	10	5	10	243	46	324	63	122	100220
381600	10	5	11	266	69	422	108	141	100241
385200	10	5	12	263	68	355	77	145	100262
388800	10	5	13	245	56	177	93	136	100283
392400	10	5	14	235	54	394	102	131	100304
396000	10	5	15	239	52	344	60	137	100325
399600	10	5	16	234	41	138	77	133	100345
403200	10	5	17	211	29	113	55	130	100366
406800	10	5	18	187	24	14	14	120	100387
410400	10	5	19	195	17	0	0	104	100408
414000	10	5	20	186	25	0	0	104	100429
417600	10	5	21	192	37	0	0	105	100450
421200	10	5	22	186	42	0	0	105	100470
424800	10	5	23	183	38	0	0	106	100491
428400	10	5	24	189	45	0	0	109	100488
432000	10	6	1	170	38	0	0	105	100467
435600	10	6	2	139	35	0	0	99	100446
439200	10	6	3	135	54	0	0	103	100425
442800	10	6	4	141	69	0	0	112	100405
446400	10	6	5	149	62	0	0	112	100384
450000	10	6	6	158	61	0	0	115	100363
453600	10	6	7	168	48	1	1	117	100342
457200	10	6	8	177	40	19	19	120	100321
