#1
#Denmark_Alborg
#
#t(s)	Tint	Tei_M	Tie_M	Tii_M	Tei_exp	Tie_exp	Tii_exp
double tab1(2160,8)
0	21.80	0	0	0	11.46	14.07	20.27
600	21.79	0	0	0	11.38	14.00	20.24
1200	21.82	0	0	0	11.36	13.99	20.28
1800	21.76	0	0	0	11.20	13.82	20.16
2400	21.81	0	0	0	11.31	13.90	20.25
3000	21.82	0	0	0	11.23	13.85	20.25
3600	21.76	0	0	0	11.04	13.69	20.14
4200	21.84	0	0	0	11.14	13.79	20.30
4800	21.82	0	0	0	11.03	13.68	20.23
5400	21.76	0	0	0	10.93	13.53	20.10
6000	21.84	0	0	0	11.06	13.64	20.26
6600	21.76	0	0	0	10.77	13.37	20.09
7200	21.79	0	0	0	10.58	13.25	20.12
7800	21.85	0	0	0	10.52	13.24	20.22
8400	21.82	0	0	0	10.39	13.14	20.15
9000	21.85	0	0	0	10.40	13.17	20.20
9600	21.75	0	0	0	10.19	12.95	19.98
10200	21.85	0	0	0	10.40	13.12	20.18
10800	21.72	0	0	0	10.12	12.84	19.92
11400	21.85	0	0	0	10.32	13.07	20.18
12000	21.76	0	0	0	10.13	12.90	19.99
12600	21.85	0	0	0	10.31	13.06	20.18
13200	21.77	0	0	0	10.17	12.88	20.01
13800	21.81	0	0	0	10.24	12.97	20.09
14400	21.79	0	0	0	10.14	12.87	20.04
15000	21.83	0	0	0	10.19	12.93	20.10
15600	21.76	0	0	0	9.96	12.69	19.98
16200	21.79	0	0	0	9.87	12.62	20.02
16800	21.83	0	0	0	9.88	12.65	20.09
17400	21.74	0	0	0	9.63	12.38	19.89
18000	21.81	0	0	0	9.75	12.47	20.02
18600	21.80	0	0	0	9.75	12.43	19.99
19200	21.79	0	0	0	9.90	12.39	19.97
19800	21.77	0	0	0	10.02	12.34	19.92
20400	21.80	0	0	0	10.24	12.47	19.98
21000	21.76	0	0	0	10.26	12.48	19.91
21600	21.80	0	0	0	10.38	12.64	19.99
