#1
#Denmark_Alborg
#
#t(s)	Tint	Tei_M	Tie_M	Tii_M	Tei_exp	Tie_exp	Tii_exp
double tab1(360,8)
0	21.80	11.49	12.67	20.27	11.3	13.9	20.2
3600	21.80	11.10	12.42	20.23	11.0	13.6	20.2
7200	21.80	10.43	11.65	20.11	10.4	13.1	20.1
10800	21.80	10.18	11.37	20.07	10.2	13.0	20.1
14400	21.80	9.64	10.94	20.00	9.9	12.7	20.0
18000	21.80	9.80	11.31	20.06	10.0	12.4	20.0
21600	21.80	10.54	11.76	20.21	10.6	12.8	20.0
25200	21.85	14.07	15.52	22.22	12.8	14.4	20.7
28800	21.90	14.14	15.63	22.31	15.7	16.9	21.7
32400	22.00	16.67	18.40	23.89	16.8	17.7	22.1
36000	22.40	23.93	26.48	27.87	26.5	26.7	26.3
39600	22.60	27.49	30.80	28.91	30.0	30.8	28.1
43200	22.70	28.54	31.51	29.02	31.6	32.4	28.9
46800	22.70	28.07	30.80	28.36	31.4	33.2	28.8
50400	22.55	23.84	24.67	26.08	28.7	30.9	26.9
54000	22.40	22.30	23.09	24.98	26.8	28.0	24.9
57600	22.20	18.80	19.48	22.45	22.6	24.5	23.4
61200	22.00	16.44	17.22	21.23	18.0	20.2	21.8
64800	22.00	15.99	16.63	21.07	16.3	18.3	21.3
68400	21.95	15.68	16.33	20.98	16.1	17.6	21.1
72000	21.95	15.01	15.72	20.88	15.6	17.2	21.0
75600	21.95	14.82	15.54	20.85	15.2	16.8	20.9
79200	21.90	15.01	15.71	20.83	15.4	17.0	20.9
82800	21.90	13.66	14.60	20.66	14.1	16.2	20.8
86400	21.90	13.50	14.46	20.63	13.8	15.7	20.7
90000	21.90	13.22	14.13	20.58	13.8	15.7	20.7
93600	21.85	13.07	14.13	20.54	13.4	15.4	20.6
97200	21.90	12.61	13.55	20.49	13.2	15.2	20.6
100800	21.90	12.31	13.29	20.45	12.8	15.0	20.5
104400	21.85	12.47	13.40	20.42	12.8	14.7	20.5
108000	21.85	12.34	13.29	20.45	12.6	14.5	20.4
111600	21.85	13.05	14.01	20.78	12.7	14.7	20.5
115200	21.95	18.17	19.32	24.24	16.3	17.0	21.5
118800	22.05	16.72	17.66	23.03	18.8	20.2	22.8
122400	22.15	20.26	21.28	25.06	20.6	22.1	24.0
126000	22.15	18.00	18.78	22.97	19.8	22.0	23.5
129600	22.10	17.71	18.80	23.92	18.3	20.5	23.0
133200	22.20	19.47	20.49	24.05	21.9	23.5	24.3
136800	22.20	20.83	22.65	24.97	22.3	24.3	24.5
140400	22.10	19.80	21.55	24.38	20.2	21.5	22.9
144000	22.05	15.78	16.67	21.64	19.1	21.0	22.5
147600	21.95	14.11	14.93	20.86	15.7	18.0	21.4
151200	21.90	13.40	14.46	20.63	14.2	16.5	20.9
154800	21.90	12.97	13.94	20.55	13.4	15.8	20.7
158400	21.90	12.72	13.66	20.51	13.3	15.5	20.6
162000	21.85	12.51	13.72	20.48	12.7	15.1	20.6
165600	21.85	11.96	13.08	20.37	12.5	14.5	20.4
169200	21.85	12.37	13.41	20.43	12.9	14.6	20.4
172800	21.85	12.51	13.51	20.44	13.1	14.7	20.5
176400	21.85	12.67	13.65	20.46	13.1	14.7	20.4
180000	21.85	12.91	13.89	20.50	13.2	14.8	20.5
183600	21.80	13.06	13.99	20.47	13.4	15.0	20.4
187200	21.80	12.36	13.41	20.38	12.8	14.7	20.4
190800	21.80	11.89	12.95	20.31	12.2	14.3	20.3
194400	21.80	11.89	13.05	20.40	12.0	14.1	20.3
198000	21.85	14.80	16.37	22.85	13.7	15.6	21.1
201600	21.95	14.92	16.31	22.31	15.9	17.6	21.8
205200	21.95	16.02	17.38	22.36	16.2	17.8	21.8
208800	22.05	18.34	19.88	23.75	18.2	19.4	22.5
212400	22.20	19.38	20.93	24.34	21.4	22.6	24.2
216000	22.35	22.97	24.99	26.63	25.1	25.7	25.8
219600	22.20	18.15	19.19	22.86	21.1	23.3	24.1
223200	22.10	19.43	20.73	23.73	19.8	21.3	22.8
226800	22.20	21.39	23.03	25.50	23.3	23.4	23.5
230400	22.05	15.92	16.82	21.58	18.7	20.5	22.4
234000	21.95	14.30	15.24	20.92	15.8	17.7	21.3
237600	21.95	13.63	14.60	20.70	14.5	16.5	20.9
241200	21.90	12.48	13.57	20.49	13.0	15.5	20.7
244800	21.85	11.87	12.99	20.36	12.1	14.7	20.5
248400	21.85	12.09	13.25	20.40	12.4	14.5	20.4
252000	21.85	11.78	12.92	20.35	11.9	14.3	20.4
255600	21.85	12.08	13.24	20.40	12.2	14.2	20.3
259200	21.85	11.21	12.40	20.27	11.6	14.0	20.4
262800	21.80	10.55	11.81	20.13	10.7	13.3	20.2
266400	21.80	10.05	11.36	20.06	10.3	12.9	20.1
270000	21.80	9.81	11.15	20.03	10.0	12.6	20.0
273600	21.80	9.72	11.06	20.02	9.6	12.3	19.9
277200	21.80	9.99	11.32	20.06	10.0	12.4	20.0
280800	21.80	10.63	11.90	20.20	10.6	12.8	20.1
284400	21.80	12.28	13.66	21.30	11.5	13.6	20.4
288000	22.00	17.35	19.60	25.46	18.0	18.0	22.2
291600	22.10	16.67	18.03	23.02	19.3	20.2	22.9
295200	22.10	17.75	19.24	23.74	19.5	20.7	23.3
298800	22.05	17.76	19.16	23.47	18.7	19.9	22.6
302400	22.10	17.35	18.67	23.16	19.3	20.7	23.2
306000	22.00	16.13	17.09	22.05	17.5	19.0	22.1
309600	21.95	16.93	17.97	22.55	17.7	19.1	22.0
313200	22.10	18.91	20.72	25.10	21.5	21.6	23.0
316800	22.10	17.16	18.67	23.90	21.0	22.4	23.4
320400	21.95	13.58	14.57	20.93	15.9	18.3	21.8
324000	21.90	11.73	12.84	20.38	12.5	15.2	20.8
327600	21.85	10.88	12.08	20.22	11.4	14.0	20.4
331200	21.85	10.31	11.58	20.14	10.5	13.4	20.3
334800	21.80	10.00	11.30	20.05	10.1	12.9	20.1
338400	21.80	10.16	11.42	20.07	10.3	12.8	20.0
342000	21.80	9.87	11.22	20.04	9.9	12.7	20.0
345600	21.80	9.32	10.69	19.96	9.3	12.3	20.0
349200	21.80	9.52	10.82	19.98	9.6	12.0	19.9
352800	21.80	9.46	10.79	19.98	9.7	12.2	19.9
356400	21.80	9.40	10.76	19.97	9.4	12.1	19.9
360000	21.75	8.70	10.19	19.84	8.7	11.7	19.8
363600	21.75	8.34	9.97	19.81	8.1	11.3	19.7
367200	21.75	8.43	10.01	19.86	8.0	11.1	19.7
370800	21.80	10.70	12.41	21.43	9.8	12.4	20.3
374400	21.95	15.53	17.84	24.79	15.7	16.4	21.8
378000	22.25	19.30	22.34	27.55	21.4	21.8	24.2
381600	22.55	19.71	23.37	28.66	24.4	26.4	27.2
385200	22.65	19.36	22.56	27.76	24.7	26.4	27.9
388800	22.35	16.06	17.85	23.71	19.2	21.8	24.7
392400	22.40	20.45	23.64	28.08	20.7	23.4	25.7
396000	22.50	20.79	23.83	28.08	24.7	28.2	27.9
399600	22.30	15.98	17.64	23.35	19.2	22.0	23.7
403200	22.15	16.42	18.01	23.45	19.1	21.2	23.1
406800	22.00	12.55	13.60	20.71	14.8	17.6	21.5
410400	21.90	11.03	12.37	20.31	11.9	15.1	20.7
414000	21.90	10.79	11.96	20.24	11.3	14.1	20.4
417600	21.85	10.83	11.93	20.19	11.0	13.8	20.3
421200	21.85	10.80	11.89	20.19	11.1	13.5	20.2
424800	21.85	10.91	11.99	20.20	11.2	13.4	20.2
428400	21.80	11.19	12.22	20.20	11.4	13.5	20.2
432000	21.80	10.82	11.91	20.15	11.1	13.3	20.1
435600	21.80	10.55	12.03	20.17	10.9	13.2	20.1
439200	21.80	10.63	11.83	20.14	11.1	13.1	20.1
442800	21.75	11.45	12.49	20.20	11.7	13.3	20.1
446400	21.75	11.46	12.48	20.20	11.8	13.4	20.1
450000	21.80	11.75	12.72	20.27	12.0	13.6	20.2
453600	21.80	11.97	12.93	20.32	12.2	13.8	20.2
457200	21.80	12.41	13.36	20.48	12.7	14.3	20.3
460800	21.85	14.04	14.97	21.18	13.9	15.5	20.8
464400	21.85	15.60	16.56	21.79	15.2	16.6	21.2
468000	22.00	20.07	22.19	25.22	18.8	20.0	22.8
471600	22.15	20.20	21.83	24.70	22.0	23.7	24.6
475200	22.10	19.81	21.11	23.74	20.8	22.4	23.6
478800	22.15	21.81	23.84	24.94	22.1	23.7	24.1
482400	22.20	20.91	22.58	24.50	22.7	24.8	24.6
486000	22.05	18.24	18.93	22.17	19.6	21.6	22.7
489600	21.95	17.52	18.13	21.69	18.3	19.9	21.8
493200	21.90	16.56	17.16	21.26	17.1	18.8	21.4
496800	21.90	15.71	16.33	20.94	16.1	17.9	21.1
500400	21.85	14.67	15.44	20.75	15.2	17.1	20.9
504000	21.85	14.25	15.05	20.69	14.8	16.4	20.8
507600	21.85	14.90	15.59	20.77	15.1	16.4	20.7
511200	21.85	14.70	15.39	20.74	15.1	16.4	20.7
514800	21.85	14.87	15.53	20.76	15.2	16.5	20.8
518400	21.85	14.67	15.35	20.73	15.1	16.4	20.7
